key,kendall_correlation,spearman_correlation,mean_squared_error
param backbone,0.30267947394174827,0.4387148763750931,0.00012998340712655208
mac backbone,0.32510508553712575,0.47242472411995906,0.00011458986694959619
zen score,0.48539881915781413,0.6805265165372046,0.00016804316108245506
az-expressivity,0.24267731586843108,0.35246189023769353,0.0001091619391456212
az-progressivity,0.08229907152311597,0.12307939708601513,0.00015097674246942927
az-trainability,-0.10671262159910071,-0.15604417122338818,0.00015981689848053185
meco,0.2617640261673999,0.38403980967072066,0.00013648964004522556
W1,0.35557298542877663,0.5163760039361351,0.00011737257957751967
W2,0.30400945614981895,0.43997459472064254,0.00010516212409016605
W3,0.5386004739840325,0.7345180515515187,0.00016028390249992505
W4,0.3456561003970871,0.5046741592863863,0.00011581068098344427
W5,0.5727352566694591,0.7726793671591066,0.00015894339602407628
W6,0.5830530194617531,0.7819692056255665,0.00015625276133202477
