"model","category","data","mac full","param full","mac backbone","param backbone","zen score","az-expressivity","az-progressivity","az-trainability","mAP50-95","meco","mlps","mambas","c2fs","maxvits"
"bench_model_000058.yaml","full c2f","pedro_vtei.yaml",2826096640,8643731,1261624320,2792256,72.67755687,61.50885725,-0.270532608,-1.934030046,0.629916826,15.07288,0,0,4,0
"bench_model_000092.yaml","full c2f","pedro_vtei.yaml",2991358720,8883147,1425260800,3048056,73.84538364,62.43298244,-0.278438091,-1.940941495,0.623157062,15.076423,0,0,4,0
"bench_model_000962.yaml","full heterogeneous","pedro_vtei.yaml",2684318784,6522757,1463699264,2032354,90.33247697,58.19347167,-0.372302532,-1.689915285,0.621980501,14.310597,2,0,2,0
"bench_model_000516.yaml","full heterogeneous","pedro_vtei.yaml",3184731968,8611989,1288057408,1505426,84.66631508,57.62241745,-0.319772243,-1.686007713,0.598089948,14.903075,2,0,2,0
"bench_model_000122.yaml","full c2f","pedro_vtei.yaml",2984579840,9875835,1062801920,2656376,72.78225875,60.7774868,-0.27139473,-1.882594585,0.619788086,14.977261,0,0,4,0
"bench_model_000826.yaml","full heterogeneous","pedro_vtei.yaml",2763576320,7419639,1217820160,1672612,67.27707028,58.26430011,-0.385701656,-1.922247953,0.614609929,14.386445,1,1,2,0
"bench_model_000924.yaml","full heterogeneous","pedro_vtei.yaml",2757032256,9159109,853706816,2011074,57.84171021,57.87477446,-0.307614803,-1.721245944,0.589150087,14.835022,1,0,2,1
"bench_model_000220.yaml","full mlp","pedro_vtei.yaml",2791437248,7703109,1569660608,3198370,97.46221781,58.78355289,-0.36517787,-1.838087576,0.613989421,13.883543,4,0,0,0
"bench_model_000804.yaml","full heterogeneous","pedro_vtei.yaml",1416664832,4245115,485423872,866952,59.6987561,53.69571614,-0.351950169,-1.78442891,0.607000404,14.582502,0,1,3,0
"bench_model_000084.yaml","full c2f","pedro_vtei.yaml",1714186240,4651627,775805440,1246584,72.43933082,57.04238915,-0.27441597,-1.635748,0.610681146,14.790161,0,0,4,0
"bench_model_000072.yaml","full c2f","pedro_vtei.yaml",2222342400,6945475,990517760,2398624,72.74278927,60.28535318,-0.27996254,-1.82333832,0.610614373,14.843758,0,0,4,0
"bench_model_000070.yaml","full c2f","pedro_vtei.yaml",1940970240,6065091,718325760,1544224,68.79355574,57.82287455,-0.305265427,-1.784431465,0.610083281,14.760506,0,0,4,0
"bench_model_000038.yaml","full c2f","pedro_vtei.yaml",1798426880,5467923,584409600,1000816,71.37741399,55.44277716,-0.318338633,-1.636700283,0.607731738,14.661482,0,0,4,0
"bench_model_000698.yaml","full heterogeneous","pedro_vtei.yaml",2919983104,8102435,1681551104,3529600,55.37222552,61.40130186,-0.74946332,-2.556631747,0.610315584,14.434107,0,2,2,0
"bench_model_000890.yaml","full heterogeneous","pedro_vtei.yaml",3301397760,9929959,1741533440,4123540,56.20521975,62.11689711,-0.59148407,-1.879401366,0.594624144,14.127222,2,1,1,0
"bench_model_000524.yaml","full heterogeneous","pedro_vtei.yaml",2024489728,6598783,1079445248,3143052,54.9478395,58.85267162,-0.345885754,-2.108440702,0.612268251,14.264699,0,1,2,1
"bench_model_000246.yaml","full mlp","pedro_vtei.yaml",2355875136,6248573,1419455296,2838154,134.6568468,57.09428835,-0.386406898,-1.962614557,0.605624846,13.645339,4,0,0,0
"bench_model_000010.yaml","full c2f","pedro_vtei.yaml",2617009920,8541675,713684480,1393640,77.05866933,57.06609654,-0.31838274,-1.732223893,0.60525557,14.856042,0,0,4,0
"bench_model_000040.yaml","full c2f","pedro_vtei.yaml",1769781760,4910747,563513600,473208,65.38763762,52.00021195,-0.325396299,-1.468071132,0.605107019,14.780088,0,0,4,0
