,tag,path,individual,macs,params,meco,cscore,zen score,az-prog,az-expr,az-train,mlps,mambas,maxvits,convs
0,ind_2177,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_2177.yaml,"{'0': 44, '1': 88, '2': {'block': 'C2f', 'repeats': 3, 'ch': 88}, '3': {'block': 'Conv_LSTM', 'ch': 88}, '4': 176, '5': {'block': 'C2f', 'repeats': 3, 'ch': 176}, '6': {'block': 'Conv_LSTM', 'ch': 176}, '7': 213, '8': {'block': 'WaveMLPLayer', 'ch': 213, 'repeats': 2}, '9': {'block': 'Conv_LSTM', 'ch': 213}, '10': 216, '11': {'block': 'C2f', 'repeats': 3, 'ch': 216}, '12': {'block': 'Conv_LSTM', 'ch': 216}, '13': {'ch': 216}}",3583610752.0,6162764.0,15.471221,1.9959135152467977,,,,,[          1],[          0],[          0],[          3]
1,ind_1931,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_1931.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 147, '5': {'block': 'C2f', 'ch': 147, 'repeats': 3}, '6': {'block': 'Conv_LSTM', 'ch': 147}, '7': 183, '8': {'block': 'C2f', 'repeats': 3, 'ch': 183}, '9': {'block': 'Conv_LSTM', 'ch': 183}, '10': 274, '11': {'block': 'C2f', 'ch': 274, 'repeats': 2}, '12': {'block': 'Conv_LSTM', 'ch': 274}, '13': {'ch': 274}}",2895653120.0,4320520.0,15.537992,1.9115806853821091,,,,,[          0],[          0],[          0],[          4]
2,ind_2176,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_2176.yaml,"{'0': 44, '1': 88, '2': {'block': 'C2f', 'repeats': 3, 'ch': 88}, '3': {'block': 'Conv_LSTM', 'ch': 88}, '4': 176, '5': {'block': 'C2f', 'repeats': 3, 'ch': 176}, '6': {'block': 'Conv_LSTM', 'ch': 176}, '7': 202, '8': {'block': 'WaveMLPLayer', 'ch': 202, 'repeats': 2, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 202}, '10': 216, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 216}, '12': {'block': 'Conv_LSTM', 'ch': 216}, '13': {'ch': 216}}",3537628928.0,6248336.0,15.454088,1.7289638689330122,,,,,[          1],[          0],[          1],[          2]
3,ind_2188,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_2188.yaml,"{'0': 44, '1': 88, '2': {'block': 'C2f', 'repeats': 3, 'ch': 88}, '3': {'block': 'Conv_LSTM', 'ch': 88}, '4': 176, '5': {'block': 'C2f', 'repeats': 3, 'ch': 176}, '6': {'block': 'Conv_LSTM', 'ch': 176}, '7': 202, '8': {'block': 'C2f', 'ch': 202, 'repeats': 2, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 202}, '10': 216, '11': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 216}, '12': {'block': 'Conv_LSTM', 'ch': 216}, '13': {'ch': 216}}",3021723456.0,5122830.0,15.504514,1.6700018725728225,,,,,[          1],[          0],[          0],[          3]
4,ind_1418,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_1418.yaml,"{'0': 44, '1': 88, '2': {'block': 'C2f', 'repeats': 3, 'ch': 88}, '3': {'block': 'Conv_LSTM', 'ch': 88}, '4': 176, '5': {'block': 'C2f', 'repeats': 3, 'ch': 176}, '6': {'block': 'Conv_LSTM', 'ch': 176}, '7': 202, '8': {'block': 'C2f', 'ch': 202, 'repeats': 2, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 202}, '10': 216, '11': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 216}, '12': {'block': 'Conv_LSTM', 'ch': 216}, '13': {'ch': 216}}",3021723456.0,5122830.0,15.504514,1.6700018725728225,,,,,[          1],[          0],[          0],[          3]
5,ind_2011,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_2011.yaml,"{'0': 36, '1': 72, '2': {'block': 'C2f', 'repeats': 3, 'ch': 108}, '3': {'block': 'Conv_LSTM', 'ch': 108}, '4': 108, '5': {'block': 'C2f', 'repeats': 3, 'ch': 108}, '6': {'block': 'Conv_LSTM', 'ch': 108}, '7': 162, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 162}, '9': {'block': 'Conv_LSTM', 'ch': 162}, '10': 283, '11': {'block': 'C2f', 'repeats': 3, 'ch': 283}, '12': {'block': 'Conv_LSTM', 'ch': 283}, '13': {'ch': 283}}",3146188928.0,5453652.0,15.452906,1.2069594667250187,,,,,[          1],[          0],[          0],[          3]
6,ind_2079,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_2079.yaml,"{'0': 44, '1': 88, '2': {'block': 'C2f', 'repeats': 3, 'ch': 88}, '3': {'block': 'Conv_LSTM', 'ch': 88}, '4': 154, '5': {'block': 'C2f', 'repeats': 3, 'ch': 154}, '6': {'block': 'Conv_LSTM', 'ch': 154}, '7': 202, '8': {'block': 'WaveMLPLayer', 'ch': 202, 'repeats': 2, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 202}, '10': 216, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 216}, '12': {'block': 'Conv_LSTM', 'ch': 216}, '13': {'ch': 216}}",3339300608.0,6071056.0,15.429928,1.1793854323690833,,,,,[          1],[          0],[          1],[          2]
7,ind_2157,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_2157.yaml,"{'0': 44, '1': 88, '2': {'block': 'C2f', 'repeats': 3, 'ch': 88}, '3': {'block': 'Conv_LSTM', 'ch': 88}, '4': 154, '5': {'block': 'C2f', 'repeats': 3, 'ch': 154}, '6': {'block': 'Conv_LSTM', 'ch': 154}, '7': 204, '8': {'block': 'WaveMLPLayer', 'ch': 204, 'repeats': 2, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 204}, '10': 216, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 216}, '12': {'block': 'Conv_LSTM', 'ch': 216}, '13': {'ch': 216}}",3339300608.0,6071056.0,15.429928,1.1793854323690833,,,,,[          1],[          0],[          1],[          2]
8,ind_2115,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_2115.yaml,"{'0': 36, '1': 72, '2': {'block': 'C2f', 'repeats': 3, 'ch': 108}, '3': {'block': 'Conv_LSTM', 'ch': 108}, '4': 108, '5': {'block': 'C2f', 'repeats': 3, 'ch': 108}, '6': {'block': 'Conv_LSTM', 'ch': 108}, '7': 162, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 162}, '9': {'block': 'Conv_LSTM', 'ch': 162}, '10': 243, '11': {'block': 'C2f', 'repeats': 3, 'ch': 243}, '12': {'block': 'Conv_LSTM', 'ch': 243}, '13': {'ch': 243}}",3094086528.0,4802812.0,15.448227,1.0827690052313463,,,,,[          1],[          0],[          0],[          3]
9,ind_1726,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000007/ind_1726.yaml,"{'0': 48, '1': 84, '2': {'block': 'C2f', 'repeats': 3, 'ch': 84}, '3': {'block': 'Conv_LSTM', 'ch': 84}, '4': 147, '5': {'block': 'C2f', 'ch': 147, 'repeats': 3}, '6': {'block': 'Conv_LSTM', 'ch': 147}, '7': 183, '8': {'block': 'C2f', 'repeats': 3, 'ch': 183}, '9': {'block': 'Conv_LSTM', 'ch': 183}, '10': 274, '11': {'block': 'C2f', 'ch': 274, 'repeats': 2}, '12': {'block': 'Conv_LSTM', 'ch': 274}, '13': {'ch': 274}}",2674551040.0,4269192.0,15.4931,1.0816138511992244,,,,,[          0],[          0],[          0],[          4]
