,tag,path,individual,macs,params,meco,cscore,zen score,az-prog,az-expr,az-train,mlps,mambas,maxvits,convs
0,ind_985,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_985.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 70, '5': {'block': 'C2f', 'repeats': 3, 'ch': 70}, '6': {'block': 'Conv_LSTM', 'ch': 70}, '7': 70, '8': {'block': 'C2f', 'repeats': 1, 'ch': 70}, '9': {'block': 'Conv_LSTM', 'ch': 70}, '10': 122, '11': {'block': 'C2f', 'repeats': 3, 'ch': 122}, '12': {'block': 'Conv_LSTM', 'ch': 122}, '13': {'ch': 122}}",562483200.0,868296.0,14.708426,2.6829258668040548,,,,,[          0],[          0],[          0],[          4]
1,ind_907,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_907.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 70, '5': {'block': 'C2f', 'repeats': 3, 'ch': 70}, '6': {'block': 'Conv_LSTM', 'ch': 70}, '7': 70, '8': {'block': 'C2f', 'repeats': 1, 'ch': 70}, '9': {'block': 'Conv_LSTM', 'ch': 70}, '10': 106, '11': {'block': 'C2f', 'repeats': 3, 'ch': 106}, '12': {'block': 'Conv_LSTM', 'ch': 106}, '13': {'ch': 106}}",553167360.0,752024.0,14.704488,2.4919105752720467,,,,,[          0],[          0],[          0],[          4]
2,ind_1078,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_1078.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 70, '5': {'block': 'C2f', 'repeats': 3, 'ch': 70}, '6': {'block': 'Conv_LSTM', 'ch': 70}, '7': 70, '8': {'block': 'C2f', 'repeats': 1, 'ch': 70}, '9': {'block': 'Conv_LSTM', 'ch': 70}, '10': 93, '11': {'block': 'C2f', 'repeats': 3, 'ch': 93}, '12': {'block': 'Conv_LSTM', 'ch': 93}, '13': {'ch': 93}}",544977920.0,649832.0,14.700534,2.314991216551018,,,,,[          0],[          0],[          0],[          4]
3,ind_801,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_801.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 66, '5': {'block': 'C2f', 'repeats': 3, 'ch': 66}, '6': {'block': 'Conv_LSTM', 'ch': 66}, '7': 66, '8': {'block': 'C2f', 'repeats': 1, 'ch': 66}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 74, '11': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 74}, '12': {'block': 'Conv_LSTM', 'ch': 74}, '13': {'ch': 74}}",549364480.0,712140.0,14.683216,2.0538521414983415,,,,,[          1],[          0],[          0],[          3]
4,ind_1081,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_1081.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 66, '5': {'block': 'C2f', 'repeats': 3, 'ch': 66}, '6': {'block': 'Conv_LSTM', 'ch': 66}, '7': 66, '8': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 66}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 74, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 2, 'ch': 74}, '12': {'block': 'Conv_LSTM', 'ch': 74}, '13': {'ch': 74}}",569295360.0,696152.0,14.653762,1.7688513004929314,,,,,[          0],[          0],[          2],[          2]
5,ind_1013,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_1013.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 60, '5': {'block': 'C2f', 'repeats': 3, 'ch': 60}, '6': {'block': 'Conv_LSTM', 'ch': 60}, '7': 66, '8': {'block': 'C2f', 'repeats': 2, 'ch': 66}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 74, '11': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 74}, '12': {'block': 'Conv_LSTM', 'ch': 74}, '13': {'ch': 74}}",517344000.0,702812.0,14.66696,1.3475158498927857,,,,,[          1],[          0],[          0],[          3]
6,ind_955,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_955.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 60, '5': {'block': 'C2f', 'repeats': 3, 'ch': 60}, '6': {'block': 'Conv_LSTM', 'ch': 60}, '7': 66, '8': {'block': 'MambaVisionLayer', 'repeats': 3, 'ch': 66, 'hd': 1}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 74, '11': {'block': 'C2f', 'repeats': 2, 'ch': 74}, '12': {'block': 'Conv_LSTM', 'ch': 74}, '13': {'ch': 74}}",544495104.0,617828.0,14.638141,1.1662917520522507,,,,,[          0],[          1],[          0],[          3]
7,ind_1036,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_1036.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 60, '5': {'block': 'C2f', 'repeats': 3, 'ch': 60}, '6': {'block': 'Conv_LSTM', 'ch': 60}, '7': 66, '8': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 66}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 99, '11': {'block': 'C2f', 'repeats': 2, 'ch': 99}, '12': {'block': 'Conv_LSTM', 'ch': 99}, '13': {'ch': 99}}",532089600.0,698480.0,14.643608,1.1080888795321722,,,,,[          0],[          0],[          1],[          3]
8,ind_754,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_754.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 60, '5': {'block': 'C2f', 'repeats': 3, 'ch': 60}, '6': {'block': 'Conv_LSTM', 'ch': 60}, '7': 66, '8': {'block': 'C2f', 'repeats': 1, 'ch': 66}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 74, '11': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 74}, '12': {'block': 'Conv_LSTM', 'ch': 74}, '13': {'ch': 74}}",508957440.0,676748.0,14.657078,1.0595271527728858,,,,,[          1],[          0],[          0],[          3]
9,ind_1072,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/meco_mac2/exp000010/ind_1072.yaml,"{'0': 20, '1': 35, '2': {'block': 'C2f', 'repeats': 3, 'ch': 35}, '3': {'block': 'Conv_LSTM', 'ch': 35}, '4': 58, '5': {'block': 'C2f', 'repeats': 3, 'ch': 58, 'hd': 6}, '6': {'block': 'Conv_LSTM', 'ch': 58}, '7': 58, '8': {'block': 'C2f', 'repeats': 2, 'ch': 58}, '9': {'block': 'Conv_LSTM', 'ch': 58}, '10': 58, '11': {'block': 'C2f', 'repeats': 2, 'ch': 58}, '12': {'block': 'Conv_LSTM', 'ch': 58}, '13': {'ch': 58}}",489441280.0,426664.0,14.66887,1.02639511904193,,,,,[          0],[          0],[          0],[          4]
