,tag,path,individual,macs,params,mlps,cscore,mambas,maxvits,convs,meco
0,ind_993,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_993.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 100, '5': {'block': 'C2f', 'repeats': 3, 'ch': 100}, '6': {'block': 'Conv_LSTM', 'ch': 100}, '7': 100, '8': {'block': 'MambaVisionLayer', 'repeats': 1, 'ch': 100, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 100}, '10': 125, '11': {'block': 'C2f', 'repeats': 2, 'ch': 125}, '12': {'block': 'Conv_LSTM', 'ch': 125}, '13': {'ch': 125}}",1602546688.0,1324732.0,[          0],2.2019661411907157,[          1],[          0],[          3],15.244711
1,ind_879,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_879.yaml,"{'0': 36, '1': 72, '2': {'block': 'C2f', 'repeats': 3, 'ch': 72}, '3': {'block': 'Conv_LSTM', 'ch': 72}, '4': 108, '5': {'block': 'C2f', 'repeats': 3, 'ch': 108}, '6': {'block': 'Conv_LSTM', 'ch': 108}, '7': 126, '8': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 126}, '9': {'block': 'Conv_LSTM', 'ch': 126}, '10': 216, '11': {'block': 'C2f', 'repeats': 2, 'ch': 216}, '12': {'block': 'Conv_LSTM', 'ch': 216}, '13': {'ch': 216}}",1737182464.0,2771440.0,[          1],1.5610800009568906,[          0],[          0],[          3],15.212864
2,ind_977,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_977.yaml,"{'0': 36, '1': 72, '2': {'block': 'C2f', 'repeats': 3, 'ch': 72}, '3': {'block': 'Conv_LSTM', 'ch': 72}, '4': 108, '5': {'block': 'C2f', 'repeats': 3, 'ch': 108}, '6': {'block': 'Conv_LSTM', 'ch': 108}, '7': 126, '8': {'block': 'MambaVisionLayer', 'repeats': 3, 'ch': 126, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 126}, '10': 216, '11': {'block': 'C2f', 'repeats': 2, 'ch': 216}, '12': {'block': 'Conv_LSTM', 'ch': 216}, '13': {'ch': 216}}",1723010304.0,2610960.0,[          0],1.4777924932487312,[          1],[          0],[          3],15.212864
3,ind_500,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_500.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 94, '5': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '6': {'block': 'Conv_LSTM', 'ch': 94}, '7': 94, '8': {'block': 'MambaVisionLayer', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 126, '11': {'block': 'C2f', 'repeats': 3, 'ch': 126}, '12': {'block': 'Conv_LSTM', 'ch': 126}, '13': {'ch': 126}}",1534619648.0,1308264.0,[          0],1.2200414285105325,[          1],[          0],[          3],15.231752
4,ind_438,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_438.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 94, '5': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '6': {'block': 'Conv_LSTM', 'ch': 94}, '7': 94, '8': {'block': 'MambaVisionLayer', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 125, '11': {'block': 'C2f', 'repeats': 3, 'ch': 125}, '12': {'block': 'Conv_LSTM', 'ch': 125}, '13': {'ch': 125}}",1534619648.0,1308264.0,[          0],1.2200414285105325,[          1],[          0],[          3],15.231752
5,ind_939,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_939.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 94, '5': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '6': {'block': 'Conv_LSTM', 'ch': 94}, '7': 94, '8': {'block': 'MambaVisionLayer', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 126, '11': {'block': 'C2f', 'repeats': 3, 'ch': 126}, '12': {'block': 'Conv_LSTM', 'ch': 126}, '13': {'ch': 126}}",1534619648.0,1308264.0,[          0],1.2200414285105325,[          1],[          0],[          3],15.231752
6,ind_313,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_313.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 94, '5': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '6': {'block': 'Conv_LSTM', 'ch': 94}, '7': 94, '8': {'block': 'MambaVisionLayer', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 126, '11': {'block': 'C2f', 'repeats': 3, 'ch': 126}, '12': {'block': 'Conv_LSTM', 'ch': 126}, '13': {'ch': 126}}",1534619648.0,1308264.0,[          0],1.2200414285105325,[          1],[          0],[          3],15.231752
7,ind_893,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_893.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 93, '5': {'block': 'C2f', 'repeats': 3, 'ch': 93}, '6': {'block': 'Conv_LSTM', 'ch': 93}, '7': 94, '8': {'block': 'MambaVisionLayer', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 125, '11': {'block': 'C2f', 'repeats': 3, 'ch': 125}, '12': {'block': 'Conv_LSTM', 'ch': 125}, '13': {'ch': 125}}",1534619648.0,1308264.0,[          0],1.2200414285105325,[          1],[          0],[          3],15.231752
8,ind_828,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_828.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 94, '5': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '6': {'block': 'Conv_LSTM', 'ch': 94}, '7': 94, '8': {'block': 'MambaVisionLayer', 'repeats': 2, 'ch': 94, 'hd': 1}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 125, '11': {'block': 'C2f', 'repeats': 1, 'ch': 125}, '12': {'block': 'Conv_LSTM', 'ch': 125}, '13': {'ch': 125}}",1557630976.0,1238328.0,[          0],1.1312413637549046,[          1],[          0],[          3],15.22677
9,ind_1071,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_1071.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 94, '5': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '6': {'block': 'Conv_LSTM', 'ch': 94}, '7': 94, '8': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 94, '11': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '12': {'block': 'Conv_LSTM', 'ch': 94}, '13': {'ch': 94}}",1551139840.0,1211384.0,[          0],1.107117564405778,[          0],[          1],[          3],15.227082
