,tag,path,individual,macs,params,meco,cscore,zen score,az-prog,az-expr,az-train,mlps,mambas,maxvits,convs
0,ind_2144,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_2144.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96, 'hd': 1}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 120, '5': {'block': 'C2f', 'repeats': 3, 'ch': 120}, '6': {'block': 'Conv_LSTM', 'ch': 120}, '7': 210, '8': {'block': 'C2f', 'repeats': 2, 'ch': 210, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 210}, '10': 252, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 252}, '12': {'block': 'Conv_LSTM', 'ch': 252}, '13': {'ch': 252}}",2644674560.0,4676256.0,15.4738455,3.048236105151668,,,,,[          0],[          0],[          1],[          3]
1,ind_2098,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_2098.yaml,"{'0': 44, '1': 77, '2': {'block': 'C2f', 'repeats': 3, 'ch': 77}, '3': {'block': 'Conv_LSTM', 'ch': 77}, '4': 154, '5': {'block': 'C2f', 'repeats': 3, 'ch': 154, 'hd': 1}, '6': {'block': 'Conv_LSTM', 'ch': 154}, '7': 222, '8': {'block': 'C2f', 'repeats': 3, 'ch': 222, 'hd': 1}, '9': {'block': 'Conv_LSTM', 'ch': 222}, '10': 229, '11': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 229}, '12': {'block': 'Conv_LSTM', 'ch': 229}, '13': {'ch': 229}}",2783755584.0,5735970.0,15.453714,2.7721143704758386,,,,,[          1],[          0],[          0],[          3]
2,ind_2039,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_2039.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96, 'hd': 1}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 144, '5': {'block': 'C2f', 'repeats': 2, 'ch': 144}, '6': {'block': 'Conv_LSTM', 'ch': 144}, '7': 150, '8': {'block': 'C2f', 'repeats': 1, 'ch': 150}, '9': {'block': 'Conv_LSTM', 'ch': 150}, '10': 157, '11': {'block': 'C2f', 'ch': 157, 'repeats': 2}, '12': {'block': 'Conv_LSTM', 'ch': 157}, '13': {'ch': 157}}",2384368640.0,2159792.0,15.450912,1.9942181899049065,,,,,[          0],[          0],[          0],[          4]
3,ind_1948,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_1948.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96, 'hd': 1}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 159, '5': {'block': 'C2f', 'repeats': 1, 'ch': 159}, '6': {'block': 'Conv_LSTM', 'ch': 159}, '7': 180, '8': {'block': 'C2f', 'repeats': 1, 'ch': 180}, '9': {'block': 'Conv_LSTM', 'ch': 180}, '10': 199, '11': {'block': 'WaveMLPLayer', 'ch': 199, 'repeats': 2}, '12': {'block': 'Conv_LSTM', 'ch': 199}, '13': {'ch': 199}}",2603340160.0,4547332.0,15.43031,1.8469662086094394,,,,,[          1],[          0],[          0],[          3]
4,ind_2046,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_2046.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96, 'hd': 1}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 144, '5': {'block': 'C2f', 'repeats': 2, 'ch': 144}, '6': {'block': 'Conv_LSTM', 'ch': 144}, '7': 150, '8': {'block': 'C2f', 'repeats': 1, 'ch': 150}, '9': {'block': 'Conv_LSTM', 'ch': 150}, '10': 157, '11': {'block': 'WaveMLPLayer', 'ch': 157, 'repeats': 1}, '12': {'block': 'Conv_LSTM', 'ch': 157}, '13': {'ch': 157}}",2440099840.0,2883352.0,15.440885,1.8327476052999756,,,,,[          1],[          0],[          0],[          3]
5,ind_1999,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_1999.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96, 'hd': 1}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 159, '5': {'block': 'C2f', 'repeats': 1, 'ch': 159}, '6': {'block': 'Conv_LSTM', 'ch': 159}, '7': 180, '8': {'block': 'C2f', 'repeats': 1, 'ch': 180}, '9': {'block': 'Conv_LSTM', 'ch': 180}, '10': 199, '11': {'block': 'WaveMLPLayer', 'ch': 199, 'repeats': 1}, '12': {'block': 'Conv_LSTM', 'ch': 199}, '13': {'ch': 199}}",2557796160.0,3937882.0,15.43031,1.766539636787047,,,,,[          1],[          0],[          0],[          3]
6,ind_1447,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_1447.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96, 'hd': 1}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 120, '5': {'block': 'C2f', 'repeats': 3, 'ch': 120}, '6': {'block': 'Conv_LSTM', 'ch': 120}, '7': 126, '8': {'block': 'C2f', 'repeats': 1, 'ch': 126}, '9': {'block': 'Conv_LSTM', 'ch': 126}, '10': 157, '11': {'block': 'C2f', 'ch': 157, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 157}, '13': {'ch': 157}}",2244131840.0,2018160.0,15.447414,1.6559151038984108,,,,,[          0],[          0],[          0],[          4]
7,ind_2076,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_2076.yaml,"{'0': 48, '1': 84, '2': {'block': 'C2f', 'repeats': 3, 'ch': 84, 'hd': 1}, '3': {'block': 'Conv_LSTM', 'ch': 84}, '4': 159, '5': {'block': 'C2f', 'repeats': 2, 'ch': 159}, '6': {'block': 'Conv_LSTM', 'ch': 159}, '7': 180, '8': {'block': 'C2f', 'repeats': 1, 'ch': 180}, '9': {'block': 'Conv_LSTM', 'ch': 180}, '10': 199, '11': {'block': 'WaveMLPLayer', 'ch': 199, 'repeats': 2}, '12': {'block': 'Conv_LSTM', 'ch': 199}, '13': {'ch': 199}}",2546160000.0,4623748.0,15.422129,1.5339542304657474,,,,,[          1],[          0],[          0],[          3]
8,ind_1394,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_1394.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96, 'hd': 1}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 120, '5': {'block': 'C2f', 'repeats': 3, 'ch': 120}, '6': {'block': 'Conv_LSTM', 'ch': 120}, '7': 126, '8': {'block': 'C2f', 'repeats': 1, 'ch': 126}, '9': {'block': 'Conv_LSTM', 'ch': 126}, '10': 157, '11': {'block': 'WaveMLPLayer', 'ch': 157, 'repeats': 1}, '12': {'block': 'Conv_LSTM', 'ch': 157}, '13': {'ch': 157}}",2289571840.0,2613400.0,15.434819,1.4097362114750778,,,,,[          1],[          0],[          0],[          3]
9,ind_1915,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000019/ind_1915.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96, 'hd': 1}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 120, '5': {'block': 'C2f', 'repeats': 3, 'ch': 120}, '6': {'block': 'Conv_LSTM', 'ch': 120}, '7': 126, '8': {'block': 'C2f', 'repeats': 1, 'ch': 126}, '9': {'block': 'Conv_LSTM', 'ch': 126}, '10': 126, '11': {'block': 'WaveMLPLayer', 'ch': 128, 'repeats': 1}, '12': {'block': 'Conv_LSTM', 'ch': 128}, '13': {'ch': 128}}",2249969664.0,2109232.0,15.433552,1.3069550394804341,,,,,[          1],[          0],[          0],[          3]
